GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata.base,GenericJpaServiceImpl,0,35,0,0,0,11,0,8,0,8
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata.base,GenericCrudServiceImpl,0,47,0,0,0,14,0,10,0,10
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata.base,GenericPagingAndSortingServiceImpl,0,9,0,0,0,2,0,2,0,2
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata.security,CustomUserDetailsService,75,0,2,0,19,0,6,0,5,0
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata,TagServiceImpl,0,11,0,0,0,3,0,3,0,3
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata,UserServiceImpl,0,11,0,0,0,3,0,3,0,3
FlashCards_Service_SpringData,org.robbins.flashcards.service.springdata,FlashCardServiceImpl,0,33,0,0,0,7,0,7,0,7
