GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards_Service_Jpa,org.robbins.flashcards.repository.jpa,UserRepositoryImpl,2,97,0,2,1,18,1,7,1,6
FlashCards_Service_Jpa,org.robbins.flashcards.repository.jpa,FlashCardRepositoryImpl,4,191,0,8,2,38,2,14,2,10
FlashCards_Service_Jpa,org.robbins.flashcards.repository.jpa,TagRepositoryImpl,0,108,0,4,0,22,0,9,0,7
FlashCards_Service_Jpa,org.robbins.flashcards.repository.jpa.base,AbstractCrudRepositoryImpl,0,77,1,3,0,17,1,8,0,7
FlashCards_Service_Jpa,org.robbins.flashcards.service.jpa,UserServiceImpl,0,11,0,0,0,3,0,3,0,3
FlashCards_Service_Jpa,org.robbins.flashcards.service.jpa,FlashCardServiceImpl,0,33,0,0,0,7,0,7,0,7
FlashCards_Service_Jpa,org.robbins.flashcards.service.jpa,TagServiceImpl,0,11,0,0,0,3,0,3,0,3
FlashCards_Service_Jpa,org.robbins.flashcards.service.jpa.base,AbstractCrudServiceImpl,13,44,0,0,9,11,9,9,9,9
